iteration,label
0,Structural
1,Linguistic Style
2,Scientific Accuracy
3,Structural
4,Structural
5,Structural
6,Clarity
7,Scientific Accuracy
8,Linguistic Style
9,Linguistic Style
10,Structural
11,Structural
12,Fluency
13,Scientific Accuracy
14,Scientific Accuracy
15,Linguistic Style
16,Structural
17,Scientific Accuracy
18,Scientific Accuracy
19,Scientific Accuracy
20,Linguistic Style
21,Structural
22,Scientific Accuracy
23,Fluency
24,Structural
25,Clarity
26,Structural
27,Scientific Accuracy
28,Structural
29,Scientific Accuracy
30,Structural
31,Structural
32,Structural
33,Structural
34,Structural
35,Scientific Accuracy
36,Structural
37,Structural
38,Scientific Accuracy
39,Object Insertion
40,Structural
41,Linguistic Style
42,Scientific Accuracy
43,Structural
44,Scientific Accuracy
45,Linguistic Style
46,Scientific Accuracy
47,Structural
48,Structural
49,Scientific Accuracy
50,Structural
51,Scientific Accuracy
52,Scientific Accuracy
53,Scientific Accuracy
54,Scientific Accuracy
55,Scientific Accuracy
56,Structural
57,Structural
58,Scientific Accuracy
59,Scientific Accuracy
60,Structural
61,Structural
62,Scientific Accuracy
63,Scientific Accuracy
64,Scientific Accuracy
65,Structural
66,Scientific Accuracy
67,Fluency
68,Scientific Accuracy
69,Structural
70,Structural
71,Scientific Accuracy
72,Scientific Accuracy
73,Scientific Accuracy
74,Linguistic Style
75,Scientific Accuracy
76,Structural
77,Structural
78,Scientific Accuracy
79,Clarity
80,Structural
81,Scientific Accuracy
82,Scientific Accuracy
83,Fluency
84,Linguistic Style
85,Structural
86,Clarity
87,Scientific Accuracy
88,Scientific Accuracy
89,Scientific Accuracy
90,Linguistic Style
91,Clarity
92,Scientific Accuracy
93,Object Insertion
94,Scientific Accuracy
95,Scientific Accuracy
96,Linguistic Style
97,Structural
98,Clarity
99,Fluency
