iteration,label
0,Citation Integration
1,Citation Integration
2,Citation Integration
3,Citation Integration
4,Citation Integration
5,Citation Integration
6,Cross-reference
7,Cross-reference
8,Cross-reference
9,Citation Integration
10,Citation Integration
11,Citation Integration
12,Citation Integration
13,Citation Integration
14,Citation Integration
15,Citation Integration
16,Citation Integration
17,Citation Integration
18,Citation Integration
19,Citation Integration
20,Cross-reference
21,Cross-reference
22,Cross-reference
23,Cross-reference
24,Cross-reference
25,Cross-reference
26,Cross-reference
27,Citation Integration
28,Citation Integration
29,Citation Integration
30,Citation Integration
31,Cross-reference
32,Cross-reference
33,Cross-reference
34,Cross-reference
35,Cross-reference
36,Cross-reference
37,Cross-reference
38,Cross-reference
39,Cross-reference
40,Cross-reference
41,Cross-reference
42,Cross-reference
43,Cross-reference
44,Cross-reference
45,Cross-reference
46,Cross-reference
47,Cross-reference
48,Cross-reference
49,Cross-reference
50,Cross-reference
51,Cross-reference
52,Cross-reference
53,Cross-reference
54,Cross-reference
55,Cross-reference
56,Cross-reference
57,Cross-reference
58,Cross-reference
59,Cross-reference
60,Cross-reference
61,Cross-reference
62,Cross-reference
63,Cross-reference
64,Cross-reference
65,Cross-reference
66,Cross-reference
67,Cross-reference
68,Cross-reference
69,Cross-reference
70,Cross-reference
71,Cross-reference
72,Cross-reference
73,Citation Integration
74,Cross-reference
75,Cross-reference
76,Cross-reference
77,Cross-reference
78,Cross-reference
79,Cross-reference
80,Cross-reference
81,Citation Integration
82,Cross-reference
83,Cross-reference
84,Cross-reference
85,Cross-reference
86,Cross-reference
87,Cross-reference
88,Cross-reference
89,Citation Integration
90,Citation Integration
91,Cross-reference
92,Cross-reference
93,Cross-reference
94,Cross-reference
95,Cross-reference
96,Citation Integration
97,Citation Integration
98,Citation Integration
99,Citation Integration
